configuration_id,classification_correct_evaluation_only,reports,core_structure_pass_rate,strict_structure_pass_rate,prediction_contract_pass_rate,evidence_contract_pass_rate,unsupported_claim_indicator_rate,mean_report_words,prediction_outcome
A0_deterministic_template,False,150,1.0,1.0,0.0,1.0,0.0,112.22666666666667,Misclassified
A0_deterministic_template,True,150,1.0,1.0,0.0,1.0,0.0,110.5,Correct
A1_unconstrained_full,False,150,1.0,1.0,0.006666666666666667,0.0,0.9533333333333334,180.60666666666665,Misclassified
A1_unconstrained_full,True,150,1.0,1.0,0.08,0.0,0.8666666666666667,179.36666666666667,Correct
A2_constrained_no_shap,False,150,0.4266666666666667,0.0,0.0,1.0,0.4066666666666667,111.86666666666666,Misclassified
A2_constrained_no_shap,True,150,0.3466666666666667,0.0,0.0,0.9933333333333333,0.2866666666666667,103.51333333333334,Correct
A3_constrained_full,False,150,0.43333333333333335,0.0,0.43333333333333335,0.19333333333333333,0.02666666666666667,156.80666666666667,Misclassified
A3_constrained_full,True,150,0.6333333333333333,0.0,0.4066666666666667,0.19333333333333333,0.013333333333333334,159.37333333333333,Correct
A4_verified_full,False,150,1.0,1.0,1.0,1.0,0.0,126.55333333333333,Misclassified
A4_verified_full,True,150,1.0,1.0,1.0,1.0,0.0,124.75333333333333,Correct
